7/2/2014 12:56:11 PM,Rework Recipe ECR 2028703
Recipe:  Rework Recipe ECR 2028703
Serial Number:  177559GI2
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/2/2014 12:56:28 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.0505618,80,80,35,35.6,
7/2/2014 12:56:32 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05042017,80,80,35,35.7,
7/2/2014 12:56:37 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05027933,80,80,35,35.8,
7/2/2014 12:56:40 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05029586,80,80,35,33.8,
7/2/2014 12:56:44 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05070423,80,80,35,35.5,
7/2/2014 12:56:48 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.0505618,80,80,35,35.6,
7/2/2014 12:56:51 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.4995971,80,80,125,124.1,
7/2/2014 12:56:56 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/2/2014 12:57:00 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/2/2014 12:57:04 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5002001,80,80,250,249.9,
7/2/2014 12:57:08 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,250.2,
7/2/2014 12:57:13 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,250.2,
7/2/2014 12:57:17 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.7,
7/2/2014 12:57:22 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:57:27 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:57:32 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:57:37 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:57:42 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:57:47 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,0.9992,80,80,125,125,
7/2/2014 12:57:52 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,125,
7/2/2014 12:57:57 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:58:02 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/2/2014 12:58:06 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:11 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:16 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:21 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:26 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:31 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:36 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:42 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:47 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 12:58:52 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,250.1,
7/2/2014 1:07:55 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,0,0,0,539.8528,80,80,75,36.7,
7/2/2014 1:08:05 PM,10 second Delay,2,D
7/2/2014 1:09:09 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.41861,110,110,15,4.3,
7/2/2014 1:09:14 PM,5 second Delay,2,D
7/2/2014 1:10:17 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,60.32558,115,115,15,4.3,
7/2/2014 1:10:22 PM,5 second Delay,4,D
7/2/2014 1:11:26 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,1,0,0,0,1,60.25581,120,120,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/2/2014 1:11:32 PM,5 second Delay,6,D
7/2/2014 1:12:36 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,1,0,1,60.16279,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/2/2014 1:12:43 PM,5 second Delay,2,D
7/2/2014 1:13:46 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,60.11628,130,130,15,4.3,
7/2/2014 1:13:51 PM,5 second Delay,4,D
7/2/2014 1:14:55 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,60.04651,135,135,15,4.3,
7/2/2014 1:15:00 PM,5 second Delay,2,D
7/2/2014 1:16:03 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.90698,140,140,15,4.3,
7/2/2014 1:16:08 PM,5 second Delay,4,D
7/2/2014 1:17:12 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,1,0,0,0,1,59.95349,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/2/2014 1:18:17 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.95349,140,140,15,4.3,
7/2/2014 1:18:22 PM,5 second Delay,2,D
7/2/2014 1:19:26 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.95349,140,140,15,4.3,
7/2/2014 1:19:31 PM,5 second Delay,4,D
7/2/2014 1:22:34 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.6667,80,80,1,0.3,
7/2/2014 1:22:39 PM,5 second Delay,2,D
7/2/2014 1:25:43 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.6667,85,85,1,0.3,
7/2/2014 1:25:48 PM,5 second Delay,4,D
7/2/2014 1:28:51 PM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,177.6667,90,90,1,0.3,
7/2/2014 1:28:56 PM,5 second Delay,6,D
7/2/2014 1:32:00 PM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,177.6667,95,95,1,0.3,
7/2/2014 1:32:05 PM,5 second Delay,2,D
7/2/2014 1:35:08 PM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,177.3333,100,100,1,0.3,
7/2/2014 1:35:14 PM,5 second Delay,4,D
7/2/2014 1:38:17 PM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,177.3333,105,105,1,0.3,
7/2/2014 1:38:22 PM,5 second Delay,6,D
7/2/2014 1:41:26 PM,SHVIS 2 C,9,SHVIS 2 110,1,E,1,0,0,0,0,0,177,110,110,1,0.3,
7/2/2014 1:41:31 PM,5 second Delay,2,D
7/2/2014 1:44:34 PM,SHVIS 2 C,9,SHVIS 2 115,3,E,1,0,0,0,0,0,177,115,115,1,0.3,
7/2/2014 1:44:39 PM,5 second Delay,4,D
7/2/2014 1:47:43 PM,SHVIS 2 C,9,SHVIS 2 120,5,E,1,0,0,0,0,0,177.3333,120,120,1,0.3,
7/2/2014 1:47:48 PM,5 second Delay,6,D
7/2/2014 1:50:51 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177.3333,125,125,1,0.3,
7/2/2014 1:50:56 PM,5 second Delay,2,D
7/2/2014 1:54:00 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,0,0,0,177.3333,130,130,1,0.3,
7/2/2014 1:54:05 PM,5 second Delay,4,D
7/2/2014 1:57:08 PM,SHVIS 2 E,11,SHVIS 2 135,1,E,1,0,0,0,0,0,177.3333,135,135,1,0.3,
7/2/2014 1:57:13 PM,5 second Delay,2,D
7/2/2014 2:00:17 PM,SHVIS 2 E,11,SHVIS 2 140,3,E,1,0,0,0,0,0,177.3333,140,140,1,0.3,
7/2/2014 2:00:22 PM,5 second Delay,4,D
7/2/2014 2:03:26 PM,SHVIS 2 F,12,SHVIS 2 140,1,E,1,0,0,0,0,0,177.3333,140,140,1,0.3,
7/2/2014 2:03:31 PM,5 second Delay,2,D
7/2/2014 2:06:34 PM,SHVIS 2 F,12,SHVIS 2 140,3,E,1,0,0,0,0,0,177.3333,140,140,1,0.3,
7/2/2014 2:06:39 PM,5 second Delay,4,D
7/2/2014 2:06:41 PM,Test Completed.  Result:  PASS
