7/1/2014 9:36:13 PM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  177559GI2
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/1/2014 9:36:32 PM,Calibration,1,Calibration 1,1,E,1,1,0,1,0,0,0.05,80,80,35,22,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:36:38 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05020921,80,80,35,23.9,
7/1/2014 9:36:42 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05059524,80,80,35,33.6,
7/1/2014 9:36:45 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04888889,80,80,35,22.5,
7/1/2014 9:36:49 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04843305,80,80,35,35.1,
7/1/2014 9:36:53 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04958678,80,80,35,36.3,
7/1/2014 9:36:57 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5004055,80,80,125,123.3,
7/1/2014 9:37:01 PM,Calibration,1,Calibration 3,3,E,2,0,0,1,0,0,0.5004016,80,80,125,124.5,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:37:08 PM,Calibration,1,Calibration 3,3,E,3,1,0,0,0,0,0.5,80,80,125,124.8,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:37:13 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,250.2,
7/1/2014 9:37:17 PM,Calibration,1,Calibration 4,4,E,2,1,0,0,0,0,0.5,80,80,250,250.2,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:37:23 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,250.2,
7/1/2014 9:37:27 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.3,
7/1/2014 9:37:32 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:37:37 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:37:42 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:37:47 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:37:53 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:37:58 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:38:03 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:38:08 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:38:13 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/1/2014 9:38:17 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:22 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:27 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:32 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:37 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:42 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:47 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:52 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:38:57 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:39:02 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,250.1,
7/1/2014 9:48:06 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,1,0,0,539.8828,80,80,75,36.7,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:48:17 PM,10 second Delay,2,D
7/1/2014 9:49:21 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,2,0,2,0,4,60.39535,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:50:26 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.39535,110,110,15,4.3,
7/1/2014 9:50:31 PM,5 second Delay,2,D
7/1/2014 9:51:35 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,1,0,1,60.32558,115,115,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:51:41 PM,5 second Delay,4,D
7/1/2014 9:52:45 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,60.27907,120,120,15,4.3,
7/1/2014 9:52:50 PM,5 second Delay,6,D
7/1/2014 9:53:53 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,1,0,1,60.2093,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:54:00 PM,5 second Delay,2,D
7/1/2014 9:54:24 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,6,0,1,0,7,3.619048,130,130,15,4.2,316:  Spit Max Error | 
7/1/2014 9:54:27 PM,Next Log Entry Due to Resume.
7/1/2014 9:54:28 PM,Next entry is due to a resume on exposure.
7/1/2014 9:55:16 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,2,0,9,0,11,32.83721,130,130,15,4.3,316:  Spit Max Error | 
7/1/2014 9:55:20 PM,Next Log Entry Due to Resume.
7/1/2014 9:55:21 PM,Next entry is due to a resume on exposure.
7/1/2014 9:55:53 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,7,0,7,0.3414634,130,130,15,4.1,316:  Spit Max Error | 
7/1/2014 9:55:56 PM,Next Log Entry Due to Resume.
7/1/2014 9:55:57 PM,Next entry is due to a resume on exposure.
7/1/2014 9:57:02 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,1,0,1,60.13953,130,130,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:58:08 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,1,0,1,60.2093,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 9:58:14 PM,5 second Delay,2,D
7/1/2014 9:59:18 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,60.13953,130,130,15,4.3,
7/1/2014 9:59:23 PM,5 second Delay,4,D
7/1/2014 10:00:26 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,1,0,0,0,1,60.06977,135,135,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 10:00:33 PM,5 second Delay,2,D
7/1/2014 10:01:37 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,3,0,7,0,10,59.86047,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 10:02:42 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,60.06977,135,135,15,4.3,
7/1/2014 10:02:47 PM,5 second Delay,2,D
7/1/2014 10:03:50 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.97675,140,140,15,4.3,
7/1/2014 10:03:55 PM,5 second Delay,4,D
7/1/2014 10:04:59 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,1,0,0,0,1,59.97675,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 10:06:04 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.97675,140,140,15,4.3,
7/1/2014 10:06:09 PM,5 second Delay,2,D
7/1/2014 10:07:13 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,1,0,0,0,1,59.97675,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/1/2014 10:08:18 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.95349,140,140,15,4.3,
7/1/2014 10:08:23 PM,5 second Delay,2,D
7/1/2014 10:09:27 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,1,0,0,0,1,59.97675,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
