7/3/2014 10:37:30 AM,Functional Test ECR 2028703
Date,Process,Error
7/3/2014 10:45:22 AM,Jedi Status,Error Status: 60- Error Data: 325 Error Phase: 5 Error Class: 3
7/3/2014 10:51:45 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:29:24 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:32:34 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:41:56 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:45:02 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:48:07 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 11:54:21 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 12:13:29 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 12:25:52 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
