7/3/2014 12:43:04 PM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  177998GI2
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/3/2014 12:43:23 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05042017,80,80,35,23.8,
7/3/2014 12:43:27 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.04878049,80,80,35,32.8,
7/3/2014 12:43:31 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.0504451,80,80,35,33.7,
7/3/2014 12:43:34 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04979253,80,80,35,24.1,
7/3/2014 12:43:38 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05029586,80,80,35,33.8,
7/3/2014 12:43:42 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04899136,80,80,35,34.7,
7/3/2014 12:43:46 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.4995951,80,80,125,123.5,
7/3/2014 12:43:50 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.4,
7/3/2014 12:43:55 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5,80,80,125,124.6,
7/3/2014 12:43:58 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,249.4,
7/3/2014 12:44:03 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,250.2,
7/3/2014 12:44:07 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,250.2,
7/3/2014 12:44:11 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.6,
7/3/2014 12:44:16 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 12:44:21 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
