7/3/2014 8:02:06 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  177998GI2
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/3/2014 8:02:24 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05084746,80,80,35,23.6,
7/3/2014 8:02:28 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05063291,80,80,35,23.7,
7/3/2014 8:02:32 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05105105,80,80,35,33.3,
7/3/2014 8:02:35 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05128205,80,80,35,23.4,
7/3/2014 8:02:39 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04857143,80,80,35,35,
7/3/2014 8:02:43 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.05,80,80,35,36,
7/3/2014 8:02:46 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,123,
7/3/2014 8:02:51 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995984,80,80,125,124.5,
7/3/2014 8:02:55 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5,80,80,125,124.8,
7/3/2014 8:02:59 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,250,
7/3/2014 8:03:03 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,250.2,
7/3/2014 8:03:08 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,250.2,
7/3/2014 8:03:12 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.4,
7/3/2014 8:03:17 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:22 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:27 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:32 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:37 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:42 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:47 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:52 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:03:57 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/3/2014 8:04:01 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,250,
7/3/2014 8:04:06 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:11 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:16 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:21 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:26 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:31 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:36 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:41 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:04:46 AM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,250.1,
7/3/2014 8:13:50 AM,Tube Warm Up,2,WarmUp,1,E,1,0,0,2,0,0,539.8502,80,80,75,36.7,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:14:02 AM,10 second Delay,2,D
7/3/2014 8:15:05 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,1,0,0,0,1,60.39535,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:15:12 AM,5 second Delay,2,D
7/3/2014 8:16:16 AM,NG HVIS #1,3,NG HVIS 115,3,E,1,3,0,3,0,6,60.32558,115,115,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:17:21 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.41861,110,110,15,4.3,
7/3/2014 8:17:26 AM,5 second Delay,2,D
7/3/2014 8:18:29 AM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,60.34884,115,115,15,4.3,
7/3/2014 8:18:34 AM,5 second Delay,4,D
7/3/2014 8:19:38 AM,NG HVIS #1,3,NG HVIS 120,5,E,1,1,0,0,0,1,60.27907,120,120,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:19:44 AM,5 second Delay,6,D
7/3/2014 8:20:48 AM,NG HVIS #2,4,NG HVIS 125,1,E,1,1,0,1,0,2,60.2093,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:21:53 AM,NG HVIS #2,4,NG HVIS 125,1,E,1,1,0,0,0,1,60.23256,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:22:00 AM,5 second Delay,2,D
7/3/2014 8:23:04 AM,NG HVIS #2,4,NG HVIS 130,3,E,1,2,0,1,0,3,60.13953,130,130,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:24:09 AM,NG HVIS #2,4,NG HVIS 125,1,E,1,1,0,0,0,1,60.18605,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/3/2014 8:24:15 AM,5 second Delay,2,D
7/3/2014 8:25:19 AM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,60.13953,130,130,15,4.3,
7/3/2014 8:25:24 AM,5 second Delay,4,D
7/3/2014 8:26:28 AM,NG HVIS #3,5,NG HVIS 135,1,E,1,2,0,0,0,2,60.06977,135,135,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
