7/3/2014 8:02:06 AM,Functional Test ECR 2028703
Date,Process,Error
7/3/2014 8:13:50 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:15:05 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:16:15 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:19:37 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:20:47 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:21:53 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:23:03 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:24:08 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:26:27 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:27:32 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:28:37 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:29:48 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:32:01 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 8:43:46 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 9:22:37 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/3/2014 9:23:10 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/3/2014 9:23:44 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/3/2014 9:26:53 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 9:29:59 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 9:33:09 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 9:42:31 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 9:48:45 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 10:10:21 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 10:12:46 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 10:20:18 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
