7/3/2014 3:59:44 PM,Functional Test ECR 2028703
Date,Process,Error
7/3/2014 4:01:45 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 4:20:44 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 4:32:23 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 4:57:33 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:00:39 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:03:49 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:10:03 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:30:31 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:47:57 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/3/2014 5:48:12 PM,Jedi Status,Error Status: 60- Error Data: 313 Error Phase: 5 Error Class: 3
