12/22/2017 12:01:46 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  211252GI2
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
12/22/2017 12:02:05 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05,80,80,35,24,
12/22/2017 12:02:09 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05059524,80,80,35,33.6,
12/22/2017 12:02:13 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.0497076,80,80,35,34.2,
12/22/2017 12:02:16 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04932735,80,80,35,22.3,
12/22/2017 12:02:20 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05074627,80,80,35,33.5,
12/22/2017 12:02:25 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04956268,80,80,35,34.3,
12/22/2017 12:02:28 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,124.2,
12/22/2017 12:02:33 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.8,
12/22/2017 12:02:37 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.4995997,80,80,125,124.9,
12/22/2017 12:02:41 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5002004,80,80,250,249.5,
12/22/2017 12:02:45 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5001999,80,80,250,250.1,
12/22/2017 12:02:50 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5001999,80,80,250,250.1,
12/22/2017 12:02:54 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.8,
12/22/2017 12:02:59 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:04 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:09 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:14 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:19 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:24 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:29 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:34 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:39 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
12/22/2017 12:03:43 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,250,
12/22/2017 12:03:48 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:03:53 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:03:58 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:03 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:08 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:13 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:18 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:23 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:04:28 AM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,250.1,
12/22/2017 12:07:32 AM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.6667,80,80,1,0.3,
12/22/2017 12:07:37 AM,5 second Delay,2,D
12/22/2017 12:10:40 AM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
12/22/2017 12:10:45 AM,5 second Delay,4,D
12/22/2017 12:13:49 AM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,177.6667,90,90,1,0.3,
12/22/2017 12:13:54 AM,5 second Delay,6,D
12/22/2017 12:16:57 AM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,177.3333,95,95,1,0.3,
12/22/2017 12:17:02 AM,5 second Delay,2,D
12/22/2017 12:20:06 AM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,177,100,100,1,0.3,
12/22/2017 12:20:11 AM,5 second Delay,4,D
12/22/2017 12:23:14 AM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,177,105,105,1,0.3,
12/22/2017 12:23:19 AM,5 second Delay,6,D
