7/9/2013 11:21:26 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  172662GI9
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/9/2013 11:21:44 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.048,80,80,35,25,
7/9/2013 11:21:48 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.0508982,80,80,35,33.4,
7/9/2013 11:21:52 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05,80,80,35,34,
7/9/2013 11:21:55 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05042017,80,80,35,23.8,
7/9/2013 11:21:59 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05,80,80,35,34,
7/9/2013 11:22:03 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04885057,80,80,35,34.8,
7/9/2013 11:22:07 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,123.2,
7/9/2013 11:22:11 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124,
7/9/2013 11:22:16 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.4995978,80,80,125,124.3,
7/9/2013 11:22:19 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.500202,80,80,250,247.5,
7/9/2013 11:22:24 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5002007,80,80,250,249.1,
7/9/2013 11:22:28 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5002004,80,80,250,249.5,
7/9/2013 11:22:33 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.5,
7/9/2013 11:22:38 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.8,
7/9/2013 11:22:43 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:22:48 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:22:53 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:22:58 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:23:03 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:23:08 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 11:23:13 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
