7/9/2013 11:21:26 AM,Functional Test ECR 2028703
Date,Process,Error
7/9/2013 12:03:15 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 12:03:58 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 12:04:41 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/9/2013 12:07:55 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 12:29:33 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 12:33:02 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 12:34:48 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 12:35:54 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/9/2013 12:44:25 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
