7/9/2013 9:12:18 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  172662GI9
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/9/2013 9:12:36 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.0483871,80,80,35,24.8,
7/9/2013 9:12:40 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.0483871,80,80,35,24.8,
7/9/2013 9:12:44 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05074627,80,80,35,33.5,
7/9/2013 9:12:47 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04979253,80,80,35,24.1,
7/9/2013 9:12:52 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04899136,80,80,35,34.7,
7/9/2013 9:12:56 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.0505618,80,80,35,35.6,
7/9/2013 9:12:59 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,123,
7/9/2013 9:13:04 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995978,80,80,125,124.3,
7/9/2013 9:13:08 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5004016,80,80,125,124.5,
7/9/2013 9:13:12 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.4997986,80,80,250,248.3,
7/9/2013 9:13:16 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,249.8,
7/9/2013 9:13:21 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,249.8,
7/9/2013 9:13:25 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.4,
7/9/2013 9:13:30 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:13:35 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:13:40 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:13:45 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:13:50 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:13:55 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:14:00 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:14:05 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:14:10 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 9:14:14 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.5,
7/9/2013 9:14:19 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:24 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:29 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:34 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:39 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:44 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:49 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 9:14:54 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
