7/10/2013 1:06:26 PM,Rework Recipe ECR 2028703
Recipe:  Rework Recipe ECR 2028703
Serial Number:  172949GI0
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/10/2013 1:06:45 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05093834,80,80,35,37.3,
7/10/2013 1:06:49 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.04851752,80,80,35,37.1,
7/10/2013 1:06:53 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.04864865,80,80,35,37,
7/10/2013 1:06:56 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05084746,80,80,35,35.4,
7/10/2013 1:07:00 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04851752,80,80,35,37.1,
7/10/2013 1:07:04 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04851752,80,80,35,37.1,
7/10/2013 1:07:08 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,124.2,
7/10/2013 1:07:12 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/10/2013 1:07:17 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/10/2013 1:07:20 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.4997994,80,80,250,249.3,
7/10/2013 1:07:25 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/10/2013 1:07:29 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/10/2013 1:07:33 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.8,
7/10/2013 1:07:38 PM,Calibration,1,Calibration 5,5,E,2,0,0,3,0,0,1,80,80,125,123.9,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 1:07:45 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:07:50 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:07:55 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:08:00 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:08:05 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:08:10 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,0.9992,80,80,125,125,
7/10/2013 1:08:15 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 1:08:20 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,0.9992,80,80,125,125,
7/10/2013 1:08:24 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.7,
7/10/2013 1:08:29 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:34 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:39 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:44 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:49 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:54 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:08:59 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:09:04 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:09:09 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 1:18:11 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,0,0,0,540.2316,80,80,75,36.7,
7/10/2013 1:18:22 PM,10 second Delay,2,D
7/10/2013 1:19:25 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.39535,110,110,15,4.3,
7/10/2013 1:19:30 PM,5 second Delay,2,D
7/10/2013 1:20:34 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,2,0,2,60.32558,115,115,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 1:21:39 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.37209,110,110,15,4.3,
7/10/2013 1:21:44 PM,5 second Delay,2,D
7/10/2013 1:22:48 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,60.32558,115,115,15,4.3,
7/10/2013 1:22:53 PM,5 second Delay,4,D
7/10/2013 1:23:56 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,60.23256,120,120,15,4.3,
7/10/2013 1:24:01 PM,5 second Delay,6,D
7/10/2013 1:25:05 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,0,0,0,60.16279,125,125,15,4.3,
7/10/2013 1:25:10 PM,5 second Delay,2,D
7/10/2013 1:26:13 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,60.04651,130,130,15,4.3,
7/10/2013 1:26:18 PM,5 second Delay,4,D
7/10/2013 1:27:22 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,59.97675,135,135,15,4.3,
7/10/2013 1:27:27 PM,5 second Delay,2,D
7/10/2013 1:28:31 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.86047,140,140,15,4.3,
7/10/2013 1:28:36 PM,5 second Delay,4,D
7/10/2013 1:29:05 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,9,0,9,22.48837,140,140,15,4.3,316:  Spit Max Error | 
7/10/2013 1:29:08 PM,Next Log Entry Due to Resume.
7/10/2013 1:29:09 PM,Next entry is due to a resume on exposure.
7/10/2013 1:29:33 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,2,0,5,0,7,1.634146,140,140,15,4.1,316:  Spit Max Error | 
7/10/2013 1:29:36 PM,Next Log Entry Due to Resume.
7/10/2013 1:29:37 PM,Next entry is due to a resume on exposure.
7/10/2013 1:30:44 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,4,0,12,0,16,9.926829,140,140,15,4.1,316:  Spit Max Error | 
7/10/2013 1:30:49 PM,Next Log Entry Due to Resume.
7/10/2013 1:30:50 PM,Next entry is due to a resume on exposure.
7/10/2013 1:31:55 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,6,0,6,59.81395,140,140,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 1:33:00 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.88372,140,140,15,4.3,
7/10/2013 1:33:05 PM,5 second Delay,2,D
7/10/2013 1:34:09 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.88372,140,140,15,4.3,
7/10/2013 1:34:14 PM,5 second Delay,4,D
7/10/2013 1:37:17 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.3333,80,80,1,0.3,
7/10/2013 1:37:22 PM,5 second Delay,2,D
7/10/2013 1:40:26 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
7/10/2013 1:40:31 PM,5 second Delay,4,D
7/10/2013 1:43:35 PM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,178,90,90,1,0.3,
7/10/2013 1:43:40 PM,5 second Delay,6,D
7/10/2013 1:46:43 PM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,177.6667,95,95,1,0.3,
7/10/2013 1:46:48 PM,5 second Delay,2,D
7/10/2013 1:49:52 PM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,1,0,1,177,100,100,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 1:49:59 PM,5 second Delay,4,D
7/10/2013 1:53:02 PM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,177,105,105,1,0.3,
7/10/2013 1:53:07 PM,5 second Delay,6,D
7/10/2013 1:56:11 PM,SHVIS 2 C,9,SHVIS 2 110,1,E,1,0,0,0,0,0,177,110,110,1,0.3,
7/10/2013 1:56:16 PM,5 second Delay,2,D
7/10/2013 1:59:19 PM,SHVIS 2 C,9,SHVIS 2 115,3,E,1,0,0,0,0,0,177.3333,115,115,1,0.3,
7/10/2013 1:59:24 PM,5 second Delay,4,D
7/10/2013 2:02:28 PM,SHVIS 2 C,9,SHVIS 2 120,5,E,1,0,0,0,0,0,177.3333,120,120,1,0.3,
7/10/2013 2:02:33 PM,5 second Delay,6,D
7/10/2013 2:05:36 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177.3333,125,125,1,0.3,
7/10/2013 2:05:41 PM,5 second Delay,2,D
7/10/2013 2:08:45 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,0,0,0,177.3333,130,130,1,0.3,
7/10/2013 2:08:50 PM,5 second Delay,4,D
7/10/2013 2:11:53 PM,SHVIS 2 E,11,SHVIS 2 135,1,E,1,0,0,0,0,0,177.3333,135,135,1,0.3,
7/10/2013 2:11:59 PM,5 second Delay,2,D
7/10/2013 2:15:02 PM,SHVIS 2 E,11,SHVIS 2 140,3,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/10/2013 2:15:07 PM,5 second Delay,4,D
7/10/2013 2:18:11 PM,SHVIS 2 F,12,SHVIS 2 140,1,E,1,0,0,1,0,1,177.3333,140,140,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 2:21:16 PM,SHVIS 2 F,12,SHVIS 2 140,1,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/10/2013 2:21:21 PM,5 second Delay,2,D
7/10/2013 2:24:25 PM,SHVIS 2 F,12,SHVIS 2 140,3,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/10/2013 2:24:30 PM,5 second Delay,4,D
7/10/2013 2:24:31 PM,Test Completed.  Result:  PASS
