7/10/2013 1:06:26 PM,Rework Recipe ECR 2028703
Date,Process,Error
7/10/2013 1:07:38 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 1:20:33 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 1:29:02 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/10/2013 1:29:30 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/10/2013 1:30:43 PM,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
7/10/2013 1:30:43 PM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/10/2013 1:31:55 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 1:49:51 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/10/2013 2:18:10 PM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
