7/9/2013 7:40:46 PM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  172949GI0
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/9/2013 7:41:04 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05421687,80,80,35,16.6,
7/9/2013 7:41:08 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.04927536,80,80,35,34.5,
7/9/2013 7:41:12 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05070423,80,80,35,35.5,
7/9/2013 7:41:15 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05172414,80,80,35,23.2,
7/9/2013 7:41:19 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04927536,80,80,35,34.5,
7/9/2013 7:41:23 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.05084746,80,80,35,35.4,
7/9/2013 7:41:27 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,123.8,
7/9/2013 7:41:31 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.6,
7/9/2013 7:41:36 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5,80,80,125,124.8,
7/9/2013 7:41:39 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,248.6,
7/9/2013 7:41:44 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/9/2013 7:41:48 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,249.8,
7/9/2013 7:41:52 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.6,
7/9/2013 7:41:58 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:03 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:08 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:13 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:18 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:23 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:28 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 7:42:33 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
