7/10/2013 6:40:25 AM,Rework Recipe ECR 2028703
Recipe:  Rework Recipe ECR 2028703
Serial Number:  172949GI0
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/10/2013 6:40:44 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.0509915,80,80,35,35.3,
7/10/2013 6:40:48 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05113636,80,80,35,35.2,
7/10/2013 6:40:52 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.0509915,80,80,35,35.3,
7/10/2013 6:40:55 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05015674,80,80,35,31.9,
7/10/2013 6:40:59 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04985337,80,80,35,34.1,
7/10/2013 6:41:03 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04956268,80,80,35,34.3,
7/10/2013 6:41:06 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,123.6,
7/10/2013 6:41:11 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.4,
7/10/2013 6:41:15 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.499599,80,80,125,124.7,
7/10/2013 6:41:19 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,246.8,
7/10/2013 6:41:24 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.499799,80,80,250,248.7,
7/10/2013 6:41:28 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5002007,80,80,250,249.1,
7/10/2013 6:41:32 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.6,
7/10/2013 6:41:37 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:41:42 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:41:47 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:41:52 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:41:57 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:42:02 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:42:07 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:42:12 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:42:17 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/10/2013 6:42:21 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.2,
7/10/2013 6:42:26 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:31 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:36 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:41 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:46 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:52 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:42:57 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:43:02 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:43:07 AM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/10/2013 6:52:10 AM,Tube Warm Up,2,WarmUp,1,E,1,0,0,1,0,0,540.1962,80,80,75,36.7,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 6:52:22 AM,10 second Delay,2,D
7/10/2013 6:53:25 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,10,0,10,60.09302,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/10/2013 6:54:31 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.37209,110,110,15,4.3,
7/10/2013 6:54:36 AM,5 second Delay,2,D
