7/9/2013 3:54:32 PM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  172949GI0
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/9/2013 3:54:50 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05042017,80,80,35,23.8,
7/9/2013 3:54:54 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05020921,80,80,35,23.9,
7/9/2013 3:54:58 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05120482,80,80,35,33.2,
7/9/2013 3:55:01 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05128205,80,80,35,23.4,
7/9/2013 3:55:05 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04913295,80,80,35,34.6,
7/9/2013 3:55:09 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.05070423,80,80,35,35.5,
7/9/2013 3:55:13 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.4995932,80,80,125,122.9,
7/9/2013 3:55:17 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995978,80,80,125,124.3,
7/9/2013 3:55:22 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5,80,80,125,124.6,
7/9/2013 3:55:25 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,248.6,
7/9/2013 3:55:30 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,249.8,
7/9/2013 3:55:34 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,249.8,
7/9/2013 3:55:38 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,0.9991961,80,80,125,124.4,
7/9/2013 3:55:43 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:55:48 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:55:54 PM,Calibration,1,Calibration 5,5,E,4,0,0,1,0,0,1,80,80,125,124.9,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 3:56:00 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:05 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:10 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:15 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:20 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:25 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,124.9,
7/9/2013 3:56:29 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.5,
7/9/2013 3:56:34 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:56:39 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:56:44 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:56:49 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:56:54 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:56:59 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:57:04 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:57:09 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 3:57:14 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/9/2013 4:06:18 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,2,0,0,540.2343,80,80,75,36.7,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 4:06:30 PM,10 second Delay,2,D
7/9/2013 4:07:33 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,2,0,2,60.34884,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 4:08:38 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.41861,110,110,15,4.3,
7/9/2013 4:08:43 PM,5 second Delay,2,D
7/9/2013 4:09:47 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,60.34884,115,115,15,4.3,
7/9/2013 4:09:52 PM,5 second Delay,4,D
7/9/2013 4:10:55 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,60.25581,120,120,15,4.3,
7/9/2013 4:11:00 PM,5 second Delay,6,D
7/9/2013 4:12:04 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,4,0,4,60.16279,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 4:13:09 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,1,0,1,60.18605,125,125,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 4:13:16 PM,5 second Delay,2,D
7/9/2013 4:14:19 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,60.11628,130,130,15,4.3,
7/9/2013 4:14:24 PM,5 second Delay,4,D
7/9/2013 4:15:28 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,60.02325,135,135,15,4.3,
7/9/2013 4:15:33 PM,5 second Delay,2,D
7/9/2013 4:16:36 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.90698,140,140,15,4.3,
7/9/2013 4:16:41 PM,5 second Delay,4,D
7/9/2013 4:17:45 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.88372,140,140,15,4.3,
7/9/2013 4:17:50 PM,5 second Delay,2,D
7/9/2013 4:18:54 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.93023,140,140,15,4.3,
7/9/2013 4:18:59 PM,5 second Delay,4,D
7/9/2013 4:22:02 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.3333,80,80,1,0.3,
7/9/2013 4:22:07 PM,5 second Delay,2,D
7/9/2013 4:25:11 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
7/9/2013 4:25:16 PM,5 second Delay,4,D
7/9/2013 4:28:19 PM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,178,90,90,1,0.3,
7/9/2013 4:28:24 PM,5 second Delay,6,D
7/9/2013 4:31:28 PM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,177.6667,95,95,1,0.3,
7/9/2013 4:31:33 PM,5 second Delay,2,D
7/9/2013 4:34:36 PM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,177,100,100,1,0.3,
7/9/2013 4:34:41 PM,5 second Delay,4,D
7/9/2013 4:37:45 PM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,177,105,105,1,0.3,
7/9/2013 4:37:50 PM,5 second Delay,6,D
7/9/2013 4:40:53 PM,SHVIS 2 C,9,SHVIS 2 110,1,E,1,0,0,0,0,0,177,110,110,1,0.3,
7/9/2013 4:40:58 PM,5 second Delay,2,D
7/9/2013 4:44:02 PM,SHVIS 2 C,9,SHVIS 2 115,3,E,1,0,0,0,0,0,177.3333,115,115,1,0.3,
7/9/2013 4:44:07 PM,5 second Delay,4,D
7/9/2013 4:47:10 PM,SHVIS 2 C,9,SHVIS 2 120,5,E,1,0,0,0,0,0,177.3333,120,120,1,0.3,
7/9/2013 4:47:15 PM,5 second Delay,6,D
7/9/2013 4:50:19 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177.3333,125,125,1,0.3,
7/9/2013 4:50:24 PM,5 second Delay,2,D
7/9/2013 4:53:27 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,4,0,4,177.3333,130,130,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 4:56:33 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177.3333,125,125,1,0.3,
7/9/2013 4:56:38 PM,5 second Delay,2,D
7/9/2013 4:56:56 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,7,0,7,2,130,130,1,0.3,316:  Spit Max Error | 
7/9/2013 4:57:00 PM,Next Log Entry Due to Resume.
7/9/2013 4:57:01 PM,Next entry is due to a resume on exposure.
7/9/2013 5:00:09 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,1,0,4,0,5,177.3333,130,130,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 5:03:14 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,3,1,3,177.3333,125,125,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/9/2013 5:06:19 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177.3333,125,125,1,0.3,
7/9/2013 5:06:24 PM,5 second Delay,2,D
7/9/2013 5:09:28 PM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,0,0,0,177.3333,130,130,1,0.3,
7/9/2013 5:09:33 PM,5 second Delay,4,D
7/9/2013 5:11:21 PM,SHVIS 2 E,11,SHVIS 2 135,1,E,1,1,0,7,0,8,75.33334,135,135,1,0.3,316:  Spit Max Error | 
7/9/2013 5:11:25 PM,Next Log Entry Due to Resume.
