7/28/2015 4:02:59 PM,Rework Recipe ECR 2028703
Recipe:  Rework Recipe ECR 2028703
Serial Number:  186591GI4
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/28/2015 4:03:15 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.05029586,80,80,35,33.8,
7/28/2015 4:03:20 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.05014749,80,80,35,33.9,
7/28/2015 4:03:24 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.05,80,80,35,34,
7/28/2015 4:03:27 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04927536,80,80,35,34.5,
7/28/2015 4:03:31 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04843305,80,80,35,35.1,
7/28/2015 4:03:35 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.0509915,80,80,35,35.3,
7/28/2015 4:03:38 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5004035,80,80,125,123.9,
7/28/2015 4:03:43 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.4,
7/28/2015 4:03:48 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.499599,80,80,125,124.7,
7/28/2015 4:03:51 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,249.8,
7/28/2015 4:03:56 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/28/2015 4:04:00 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/28/2015 4:04:04 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.7,
7/28/2015 4:04:09 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:14 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:19 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,0.9992,80,80,125,125,
7/28/2015 4:04:24 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:29 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:35 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:40 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,124.9,
7/28/2015 4:04:45 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,0.9992,80,80,125,125,
7/28/2015 4:04:50 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,0.9992,80,80,125,125,
7/28/2015 4:04:54 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:04:59 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:04 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:09 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:14 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:19 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:24 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:29 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:34 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:05:39 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/28/2015 4:14:43 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,0,0,0,540.1771,80,80,75,36.7,
7/28/2015 4:14:53 PM,10 second Delay,2,D
7/28/2015 4:15:56 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.04651,110,110,15,4.3,
7/28/2015 4:16:01 PM,5 second Delay,2,D
7/28/2015 4:17:05 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,59.95349,115,115,15,4.3,
7/28/2015 4:17:10 PM,5 second Delay,4,D
7/28/2015 4:18:13 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,59.83721,120,120,15,4.3,
7/28/2015 4:18:18 PM,5 second Delay,6,D
7/28/2015 4:19:20 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,0,0,0,59.76744,125,125,15,4.3,
7/28/2015 4:19:25 PM,5 second Delay,2,D
7/28/2015 4:20:29 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,59.65116,130,130,15,4.3,
7/28/2015 4:20:34 PM,5 second Delay,4,D
7/28/2015 4:21:37 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,59.55814,135,135,15,4.3,
7/28/2015 4:21:42 PM,5 second Delay,2,D
7/28/2015 4:22:46 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.46511,140,140,15,4.3,
7/28/2015 4:22:51 PM,5 second Delay,4,D
7/28/2015 4:23:54 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.44186,140,140,15,4.3,
7/28/2015 4:23:59 PM,5 second Delay,2,D
7/28/2015 4:25:03 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.46511,140,140,15,4.3,
7/28/2015 4:25:08 PM,5 second Delay,4,D
7/28/2015 4:28:12 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.3333,80,80,1,0.3,
7/28/2015 4:28:17 PM,5 second Delay,2,D
7/28/2015 4:31:20 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177,85,85,1,0.3,
7/28/2015 4:31:25 PM,5 second Delay,4,D
7/28/2015 4:34:29 PM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,177,90,90,1,0.3,
7/28/2015 4:34:34 PM,5 second Delay,6,D
7/28/2015 4:37:37 PM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,177,95,95,1,0.3,
7/28/2015 4:37:42 PM,5 second Delay,2,D
7/28/2015 4:40:46 PM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,177,100,100,1,0.3,
7/28/2015 4:40:51 PM,5 second Delay,4,D
7/28/2015 4:43:54 PM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,177,105,105,1,0.3,
7/28/2015 4:43:59 PM,5 second Delay,6,D
7/28/2015 4:47:03 PM,SHVIS 2 C,9,SHVIS 2 110,1,E,1,1,0,0,0,1,177.3333,110,110,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/28/2015 4:47:10 PM,5 second Delay,2,D
7/28/2015 4:50:13 PM,SHVIS 2 C,9,SHVIS 2 115,3,E,1,0,0,0,0,0,177,115,115,1,0.3,
7/28/2015 4:50:18 PM,5 second Delay,4,D
7/28/2015 4:53:22 PM,SHVIS 2 C,9,SHVIS 2 120,5,E,1,0,0,0,0,0,177,120,120,1,0.3,
7/28/2015 4:53:27 PM,5 second Delay,6,D
7/28/2015 4:56:30 PM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177,125,125,1,0.3,
7/28/2015 4:56:35 PM,5 second Delay,2,D
