7/24/2015 11:52:21 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  188537GI5
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/24/2015 11:52:38 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.04810997,80,80,35,29.1,
7/24/2015 11:52:42 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.0504451,80,80,35,33.7,
7/24/2015 11:52:46 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.04985337,80,80,35,34.1,
7/24/2015 11:52:49 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05119454,80,80,35,29.3,
7/24/2015 11:52:53 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05,80,80,35,34,
7/24/2015 11:52:57 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04941861,80,80,35,34.4,
7/24/2015 11:53:01 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.4995971,80,80,125,124.1,
7/24/2015 11:53:06 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995984,80,80,125,124.5,
7/24/2015 11:53:10 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5,80,80,125,124.8,
7/24/2015 11:53:14 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5,80,80,250,249.2,
7/24/2015 11:53:18 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5,80,80,250,249.8,
7/24/2015 11:53:23 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5,80,80,250,249.8,
7/24/2015 11:53:27 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.8,
7/24/2015 11:53:32 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,1,80,80,125,124.9,
7/24/2015 11:53:37 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,124.9,
7/24/2015 11:53:42 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:53:47 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,124.9,
7/24/2015 11:53:52 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:53:57 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:54:02 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:54:07 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:54:12 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 11:54:16 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.8,
7/24/2015 11:54:21 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:26 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:31 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:36 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:41 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:46 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:51 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:54:56 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:55:01 AM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 11:58:05 AM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177,80,80,1,0.3,
7/24/2015 11:58:10 AM,5 second Delay,2,D
7/24/2015 12:01:14 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
7/24/2015 12:01:19 PM,5 second Delay,4,D
