7/24/2015 9:57:55 AM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  188537GI5
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/24/2015 9:58:14 AM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.04844291,80,80,35,28.9,
7/24/2015 9:58:18 AM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.04810997,80,80,35,29.1,
7/24/2015 9:58:22 AM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.0504451,80,80,35,33.7,
7/24/2015 9:58:25 AM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.04827586,80,80,35,29,
7/24/2015 9:58:29 AM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.04927536,80,80,35,34.5,
7/24/2015 9:58:33 AM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.0487106,80,80,35,34.9,
7/24/2015 9:58:37 AM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.4995971,80,80,125,124.1,
7/24/2015 9:58:41 AM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.5,80,80,125,124.8,
7/24/2015 9:58:46 AM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/24/2015 9:58:50 AM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/24/2015 9:58:54 AM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/24/2015 9:58:59 AM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.4997999,80,80,250,249.9,
7/24/2015 9:59:03 AM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.7,
7/24/2015 9:59:08 AM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 9:59:13 AM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:18 AM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 9:59:23 AM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:28 AM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,0.9992,80,80,125,125,
7/24/2015 9:59:33 AM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:38 AM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:43 AM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:48 AM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,125,
7/24/2015 9:59:52 AM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 9:59:57 AM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:02 AM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:07 AM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:12 AM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:17 AM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:22 AM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:27 AM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:32 AM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:00:37 AM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,249.9,
7/24/2015 10:09:41 AM,Tube Warm Up,2,WarmUp,1,E,1,0,0,0,0,0,540.1771,80,80,75,36.7,
7/24/2015 10:09:51 AM,10 second Delay,2,D
7/24/2015 10:10:55 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,1,0,1,0,2,60.02325,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/24/2015 10:12:00 AM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,0,0,0,60.02325,110,110,15,4.3,
7/24/2015 10:12:05 AM,5 second Delay,2,D
7/24/2015 10:13:08 AM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,59.95349,115,115,15,4.3,
7/24/2015 10:13:13 AM,5 second Delay,4,D
7/24/2015 10:14:17 AM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,59.86047,120,120,15,4.3,
7/24/2015 10:14:22 AM,5 second Delay,6,D
7/24/2015 10:15:26 AM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,0,0,0,59.76744,125,125,15,4.3,
7/24/2015 10:15:31 AM,5 second Delay,2,D
7/24/2015 10:16:34 AM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,59.69767,130,130,15,4.3,
7/24/2015 10:16:39 AM,5 second Delay,4,D
7/24/2015 10:17:43 AM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,59.60465,135,135,15,4.3,
7/24/2015 10:17:48 AM,5 second Delay,2,D
7/24/2015 10:18:51 AM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.48837,140,140,15,4.3,
7/24/2015 10:18:56 AM,5 second Delay,4,D
7/24/2015 10:20:00 AM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.48837,140,140,15,4.3,
7/24/2015 10:20:05 AM,5 second Delay,2,D
7/24/2015 10:21:08 AM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.48837,140,140,15,4.3,
7/24/2015 10:21:13 AM,5 second Delay,4,D
7/24/2015 10:24:17 AM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177.3333,80,80,1,0.3,
7/24/2015 10:24:22 AM,5 second Delay,2,D
7/24/2015 10:27:25 AM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
7/24/2015 10:27:30 AM,5 second Delay,4,D
7/24/2015 10:30:34 AM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,177,90,90,1,0.3,
7/24/2015 10:30:39 AM,5 second Delay,6,D
7/24/2015 10:33:43 AM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,176.6667,95,95,1,0.3,
7/24/2015 10:33:48 AM,5 second Delay,2,D
7/24/2015 10:36:51 AM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,176.6667,100,100,1,0.3,
7/24/2015 10:36:56 AM,5 second Delay,4,D
7/24/2015 10:40:00 AM,SHVIS 2 B,8,SHVIS 2 105,5,E,1,0,0,0,0,0,176.6667,105,105,1,0.3,
7/24/2015 10:40:05 AM,5 second Delay,6,D
7/24/2015 10:43:08 AM,SHVIS 2 C,9,SHVIS 2 110,1,E,1,0,0,0,0,0,177,110,110,1,0.3,
7/24/2015 10:43:13 AM,5 second Delay,2,D
7/24/2015 10:46:17 AM,SHVIS 2 C,9,SHVIS 2 115,3,E,1,0,0,0,0,0,177,115,115,1,0.3,
7/24/2015 10:46:22 AM,5 second Delay,4,D
7/24/2015 10:49:25 AM,SHVIS 2 C,9,SHVIS 2 120,5,E,1,0,0,0,0,0,177,120,120,1,0.3,
7/24/2015 10:49:30 AM,5 second Delay,6,D
7/24/2015 10:52:34 AM,SHVIS 2 D,10,SHVIS 2 125,1,E,1,0,0,0,0,0,177,125,125,1,0.3,
7/24/2015 10:52:39 AM,5 second Delay,2,D
7/24/2015 10:55:43 AM,SHVIS 2 D,10,SHVIS 2 130,3,E,1,0,0,0,0,0,176.6667,130,130,1,0.3,
7/24/2015 10:55:48 AM,5 second Delay,4,D
7/24/2015 10:58:51 AM,SHVIS 2 E,11,SHVIS 2 135,1,E,1,0,0,0,0,0,177,135,135,1,0.3,
7/24/2015 10:58:56 AM,5 second Delay,2,D
7/24/2015 11:02:00 AM,SHVIS 2 E,11,SHVIS 2 140,3,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/24/2015 11:02:05 AM,5 second Delay,4,D
7/24/2015 11:05:08 AM,SHVIS 2 F,12,SHVIS 2 140,1,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/24/2015 11:05:13 AM,5 second Delay,2,D
7/24/2015 11:08:17 AM,SHVIS 2 F,12,SHVIS 2 140,3,E,1,0,0,0,0,0,177,140,140,1,0.3,
7/24/2015 11:08:22 AM,5 second Delay,4,D
7/24/2015 11:14:51 AM,6 Minute Delay,1,D
7/24/2015 11:16:08 AM,Functional test,13,FT step 1,2,E,1,0,0,2,0,2,59.99234,120,120,71.1,26.1,324:  Tube spit (all kV drop/regul errors) | 
7/24/2015 11:17:10 AM,1 minute Delay,3,D
7/24/2015 11:17:25 AM,Functional test,13,FT step 2,4,E,1,0,0,0,0,0,11.00337,85,85,640,237.6,
7/24/2015 11:17:26 AM,1 sec delay,5,D
7/24/2015 11:18:29 AM,Functional test,13,FT step 3,6,E,1,0,0,0,0,0,59.97318,120,120,71.1,26.1,
7/24/2015 11:18:34 AM,5 second Delay,7,D
7/24/2015 11:18:49 AM,Functional test,13,FT step 4,8,E,1,0,0,0,0,0,11.00382,85,85,640,209.3,
7/24/2015 11:19:49 AM,1 minute Delay,9,D
7/24/2015 11:20:52 AM,Functional test,13,FT step 5,10,E,1,0,0,0,0,0,60.01598,100,100,85.3,31.3,
7/24/2015 11:20:53 AM,1 sec delay,11,D
7/24/2015 11:21:12 AM,Functional test,13,FT step 6,12,E,1,0,0,0,0,0,14.9868,115,115,556.5,98.5,
7/24/2015 11:21:13 AM,1 sec delay,13,D
7/24/2015 11:22:16 AM,Functional test,13,FT step 7,14,E,1,0,0,0,0,0,59.97318,120,120,71.1,26.1,
7/24/2015 11:22:17 AM,1 sec delay,15,D
7/24/2015 11:22:36 AM,Functional test,13,FT step 8,16,E,1,0,0,0,0,0,14.98882,115,115,556.5,98.4,
7/24/2015 11:22:37 AM,1 sec delay,17,D
7/24/2015 11:23:41 AM,Functional test,13,FT step 9,18,E,1,0,0,3,0,3,59.94636,120,120,71.1,26.1,324:  Tube spit (all kV drop/regul errors) | 
7/24/2015 11:23:43 AM,1 sec delay,19,D
7/24/2015 11:24:02 AM,Functional test,13,FT step 10,20,E,1,0,0,0,0,0,14.9868,115,115,556.5,98.5,
7/24/2015 11:25:02 AM,1 minute Delay,21,D
7/24/2015 11:26:05 AM,Functional test,13,FT step 11,22,E,1,0,0,0,0,0,59.97318,120,120,71.1,26.1,
7/24/2015 11:27:05 AM,1 minute Delay,23,D
7/24/2015 11:27:20 AM,Functional test,13,FT step 12,24,E,1,0,0,0,0,0,10.99318,85,85,590,175.9,
7/24/2015 11:27:21 AM,1 sec delay,25,D
7/24/2015 11:28:24 AM,Functional test,13,FT step 13,26,E,1,0,0,0,0,0,59.90909,120,120,71.1,20.9,
7/24/2015 11:28:29 AM,5 second Delay,27,D
7/24/2015 11:28:44 AM,Functional test,13,FT step 14,28,E,1,0,0,0,0,0,11.00113,85,85,590,176.2,
7/24/2015 11:29:44 AM,1 minute Delay,29,D
7/24/2015 11:30:47 AM,Functional test,13,FT step 15,30,E,1,0,0,0,0,0,59.98083,100,100,85.3,31.3,
7/24/2015 11:30:48 AM,1 sec delay,31,D
7/24/2015 11:31:07 AM,Functional test,13,FT step 16,32,E,1,0,0,0,0,0,14.9913,120,120,520,92,
7/24/2015 11:31:08 AM,1 sec delay,33,D
7/24/2015 11:32:10 AM,Functional test,13,FT step 17,34,E,1,1,0,6,0,7,59.83846,120,120,71.1,26,316:  Spit Max Error | 
7/24/2015 11:32:19 AM,Next Log Entry Due to Resume.
7/24/2015 11:32:20 AM,Next entry is due to a resume on exposure.
7/24/2015 11:32:45 AM,Functional test,13,FT step 17,34,E,1,0,0,7,0,7,0.5919541,120,120,71.1,17.4,316:  Spit Max Error | 
7/24/2015 11:32:48 AM,Next Log Entry Due to Resume.
7/24/2015 11:32:49 AM,Next entry is due to a resume on exposure.
7/24/2015 11:33:58 AM,Functional test,13,FT step 17,34,E,1,0,0,2,0,2,59.95402,120,120,71.1,26.1,324:  Tube spit (all kV drop/regul errors) | 
7/24/2015 11:34:00 AM,1 sec delay,35,D
7/24/2015 11:34:19 AM,Functional test,13,FT step 18,36,E,1,0,0,0,0,0,14.99239,120,120,520,92,
7/24/2015 11:34:20 AM,1 sec delay,37,D
7/24/2015 11:35:23 AM,Functional test,13,FT step 19,38,E,1,0,0,0,0,0,59.97701,120,120,71.1,26.1,
7/24/2015 11:35:24 AM,1 sec delay,39,D
7/24/2015 11:35:43 AM,Functional test,13,FT step 20,40,E,1,0,0,0,0,0,14.99218,120,120,520,76.7,
7/24/2015 11:51:12 AM,15 Minute Delay,41,D
7/24/2015 11:51:13 AM,Test Completed.  Result:  FAIL (Test failed due to total spits being greater than the spits allowed in the protocol.)
