7/24/2015 9:57:55 AM,Functional Test ECR 2028703
Date,Process,Error
7/24/2015 10:10:54 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/24/2015 11:16:08 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/24/2015 11:23:40 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
7/24/2015 11:32:10 AM,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
7/24/2015 11:32:10 AM,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
7/24/2015 11:32:10 AM,Jedi Status,Error Status: 27- Error Data: 815 Error Phase: 5 Error Class: 1
7/24/2015 11:32:10 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/24/2015 11:32:43 AM,Jedi Status,Error Status: 60- Error Data: 316 Error Phase: 5 Error Class: 3
7/24/2015 11:33:57 AM,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
