7/27/2015 1:18:09 PM,Functional Test ECR 2028703
Recipe:  Functional Test ECR 2028703
Serial Number:  188596GI1
Date,Protocol Name,Seq. #,Prescription Name,Seq #,Prescription Type,Current Exp.,Anode Spits,Cathode Spits,AnodeCathode Spits,kvRegul,Total Spits,Actual Exp. Time,Exp. Voltage,Actual Voltage,Exp. mA,Actual mA,Generator Errors
7/27/2015 1:18:25 PM,Calibration,1,Calibration 1,1,E,1,0,0,0,0,0,0.04918033,80,80,35,30.5,
7/27/2015 1:18:30 PM,Calibration,1,Calibration 1,1,E,2,0,0,0,0,0,0.0487013,80,80,35,30.8,
7/27/2015 1:18:34 PM,Calibration,1,Calibration 1,1,E,3,0,0,0,0,0,0.04956268,80,80,35,34.3,
7/27/2015 1:18:37 PM,Calibration,1,Calibration 2,2,E,1,0,0,0,0,0,0.05063291,80,80,35,31.6,
7/27/2015 1:18:41 PM,Calibration,1,Calibration 2,2,E,2,0,0,0,0,0,0.05,80,80,35,36,
7/27/2015 1:18:45 PM,Calibration,1,Calibration 2,2,E,3,0,0,0,0,0,0.04958678,80,80,35,36.3,
7/27/2015 1:18:49 PM,Calibration,1,Calibration 3,3,E,1,0,0,0,0,0,0.5,80,80,125,124.6,
7/27/2015 1:18:53 PM,Calibration,1,Calibration 3,3,E,2,0,0,0,0,0,0.4995997,80,80,125,124.9,
7/27/2015 1:18:58 PM,Calibration,1,Calibration 3,3,E,3,0,0,0,0,0,0.5004003,80,80,125,124.9,
7/27/2015 1:19:01 PM,Calibration,1,Calibration 4,4,E,1,0,0,0,0,0,0.5002001,80,80,250,249.9,
7/27/2015 1:19:06 PM,Calibration,1,Calibration 4,4,E,2,0,0,0,0,0,0.5002001,80,80,250,249.9,
7/27/2015 1:19:10 PM,Calibration,1,Calibration 4,4,E,3,0,0,0,0,0,0.5002001,80,80,250,249.9,
7/27/2015 1:19:14 PM,Calibration,1,Calibration 5,5,E,1,0,0,0,0,0,1,80,80,125,124.7,
7/27/2015 1:19:19 PM,Calibration,1,Calibration 5,5,E,2,0,0,0,0,0,0.9992,80,80,125,125,
7/27/2015 1:19:24 PM,Calibration,1,Calibration 5,5,E,3,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:29 PM,Calibration,1,Calibration 5,5,E,4,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:34 PM,Calibration,1,Calibration 5,5,E,5,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:39 PM,Calibration,1,Calibration 5,5,E,6,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:45 PM,Calibration,1,Calibration 5,5,E,7,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:50 PM,Calibration,1,Calibration 5,5,E,8,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:19:55 PM,Calibration,1,Calibration 5,5,E,9,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:20:00 PM,Calibration,1,Calibration 5,5,E,10,0,0,0,0,0,1,80,80,125,125,
7/27/2015 1:20:04 PM,Calibration,1,Calibration 6,6,E,1,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:09 PM,Calibration,1,Calibration 6,6,E,2,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:14 PM,Calibration,1,Calibration 6,6,E,3,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:19 PM,Calibration,1,Calibration 6,6,E,4,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:24 PM,Calibration,1,Calibration 6,6,E,5,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:29 PM,Calibration,1,Calibration 6,6,E,6,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:34 PM,Calibration,1,Calibration 6,6,E,7,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:39 PM,Calibration,1,Calibration 6,6,E,8,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:44 PM,Calibration,1,Calibration 6,6,E,9,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:20:49 PM,Calibration,1,Calibration 6,6,E,10,0,0,0,0,0,1,80,80,250,250,
7/27/2015 1:29:53 PM,Tube Warm Up,2,WarmUp,1,E,1,0,0,0,0,0,540.1526,80,80,75,36.7,
7/27/2015 1:30:03 PM,10 second Delay,2,D
7/27/2015 1:31:06 PM,NG HVIS #1,3,NG HVIS 110,1,E,1,0,0,1,0,1,60.04651,110,110,15,4.3,324:  Tube spit (all kV drop/regul errors) | 
7/27/2015 1:31:13 PM,5 second Delay,2,D
7/27/2015 1:32:16 PM,NG HVIS #1,3,NG HVIS 115,3,E,1,0,0,0,0,0,59.95349,115,115,15,4.3,
7/27/2015 1:32:21 PM,5 second Delay,4,D
7/27/2015 1:33:25 PM,NG HVIS #1,3,NG HVIS 120,5,E,1,0,0,0,0,0,59.86047,120,120,15,4.3,
7/27/2015 1:33:30 PM,5 second Delay,6,D
7/27/2015 1:34:34 PM,NG HVIS #2,4,NG HVIS 125,1,E,1,0,0,0,0,0,59.7907,125,125,15,4.3,
7/27/2015 1:34:39 PM,5 second Delay,2,D
7/27/2015 1:35:42 PM,NG HVIS #2,4,NG HVIS 130,3,E,1,0,0,0,0,0,59.69767,130,130,15,4.3,
7/27/2015 1:35:47 PM,5 second Delay,4,D
7/27/2015 1:36:51 PM,NG HVIS #3,5,NG HVIS 135,1,E,1,0,0,0,0,0,59.60465,135,135,15,4.3,
7/27/2015 1:36:56 PM,5 second Delay,2,D
7/27/2015 1:37:59 PM,NG HVIS #3,5,NG HVIS 140,3,E,1,0,0,0,0,0,59.48837,140,140,15,4.3,
7/27/2015 1:38:04 PM,5 second Delay,4,D
7/27/2015 1:39:08 PM,NG HVIS #4,6,NG HVIS 140,1,E,1,0,0,0,0,0,59.51163,140,140,15,4.3,
7/27/2015 1:39:13 PM,5 second Delay,2,D
7/27/2015 1:40:16 PM,NG HVIS #4,6,NG HVIS 140,3,E,1,0,0,0,0,0,59.51163,140,140,15,4.3,
7/27/2015 1:40:21 PM,5 second Delay,4,D
7/27/2015 1:43:25 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,2,0,2,177.3333,80,80,1,0.3,324:  Tube spit (all kV drop/regul errors) | 
7/27/2015 1:46:30 PM,SHVIS 2 A,7,SHVIS 2 80,1,E,1,0,0,0,0,0,177,80,80,1,0.3,
7/27/2015 1:46:35 PM,5 second Delay,2,D
7/27/2015 1:49:39 PM,SHVIS 2 A,7,SHVIS 2 85,3,E,1,0,0,0,0,0,177.3333,85,85,1,0.3,
7/27/2015 1:49:44 PM,5 second Delay,4,D
7/27/2015 1:52:47 PM,SHVIS 2 A,7,SHVIS 2 90,5,E,1,0,0,0,0,0,177,90,90,1,0.3,
7/27/2015 1:52:52 PM,5 second Delay,6,D
7/27/2015 1:55:56 PM,SHVIS 2 B,8,SHVIS 2 95,1,E,1,0,0,0,0,0,176.6667,95,95,1,0.3,
7/27/2015 1:56:01 PM,5 second Delay,2,D
7/27/2015 1:59:04 PM,SHVIS 2 B,8,SHVIS 2 100,3,E,1,0,0,0,0,0,177,100,100,1,0.3,
