28/06/2018 20:54:13,Functional Test ECR 2028703
Date,Process,Error
28/06/2018 20:54:33,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 20:55:19,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 21:05:58,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 21:11:47,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 21:34:18,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 21:46:53,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 21:50:03,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 22:05:42,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 22:19:46,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
28/06/2018 22:27:18,Jedi Status,Error Status: 30- Error Data: 324 Error Phase: 5 Error Class: 2
